station_id,station_name,map_image_path,satellite_image_path,mobility_score,observed_subway_score,hidden_gap_score,temporal_score,visual_morphology_score,mobility_minus_subway_gap,hidden_demand_reconstruction_score_norm,station_type
2618,증산(명지대앞),images/station_tiles/satellite/2618_증산(명지대앞).png,images/station_tiles/satellite/2618_증산(명지대앞).png,0.416002119425105,0.5408722331799255,0.5440391272564882,0.8399784094683498,0.28846153846153844,0.302840375343174,0.5408722331799255,outer_hidden_demand
318,안국,images/station_tiles/satellite/318_안국.png,images/station_tiles/satellite/318_안국.png,0.4966870036714859,0.036817882971729124,0.5437382250543107,0.5731346703350035,0.2692307692307692,0.2390509914224815,0.036817882971729124,normal
2550,길동,images/station_tiles/satellite/2550_길동.png,images/station_tiles/satellite/2550_길동.png,0.4084946738761736,0.5259697567389875,0.5431541446749792,0.9091746343219986,0.14423076923076922,0.3101624034503287,0.5259697567389875,normal
327,신사,images/station_tiles/satellite/327_신사.png,images/station_tiles/satellite/327_신사.png,0.5480894479861357,0.03879026955950033,0.5408064890266365,0.9089899918277938,0.15384615384615385,0.2172036997480206,0.03879026955950033,normal
154,종로5가,images/station_tiles/satellite/154_종로5가.png,images/station_tiles/satellite/154_종로5가.png,0.4489892040662137,0.0008766162612316459,0.5395789574002321,0.9312733284591063,0.09615384615384616,0.2639353933121137,0.0008766162612316459,normal
2528,여의나루,images/station_tiles/satellite/2528_여의나루.png,images/station_tiles/satellite/2528_여의나루.png,0.4227448094929092,0.5211483673022135,0.5388647173747998,0.5319959699102761,0.23076923076923078,0.2871379103980769,0.5211483673022135,normal
225,방배,images/station_tiles/satellite/225_방배.png,images/station_tiles/satellite/225_방배.png,0.4602825256197513,0.01643655489809336,0.538296577426671,0.665482355228448,0.3076923076923077,0.2533441920641576,0.01643655489809336,normal
2747,남구로,images/station_tiles/satellite/2747_남구로.png,images/station_tiles/satellite/2747_남구로.png,0.4251328455331334,0.569143107604646,0.5368045903347957,0.9368312750610845,0.21153846153846154,0.2813844306890896,0.569143107604646,normal
417,길음,images/station_tiles/satellite/417_길음.png,images/station_tiles/satellite/417_길음.png,0.4838145710381261,0.05851413543721236,0.5311448768362569,0.8726033684568513,0.23076923076923078,0.2282788774091335,0.05851413543721236,normal
2825,신흥,images/station_tiles/satellite/2825_신흥.png,images/station_tiles/satellite/2825_신흥.png,0.3761800585130332,0.5862371246986632,0.5274572044433042,0.5547126132337208,0.3173076923076923,0.327006578131878,0.5862371246986632,normal
2728,어린이대공원(세종대),images/station_tiles/satellite/2728_어린이대공원(세종대).png,images/station_tiles/satellite/2728_어린이대공원(세종대).png,0.4274961299427751,0.5649791803637958,0.5272385361715404,0.8025837560868804,0.21153846153846154,0.2638398212589081,0.5649791803637958,normal
317,경복궁(정부서울청사),images/station_tiles/satellite/317_경복궁(정부서울청사).png,images/station_tiles/satellite/317_경복궁(정부서울청사).png,0.4754229380263399,0.03659872890642121,0.5231992916814173,0.5863192065672488,0.375,0.2216944151467518,0.03659872890642121,normal
4110,염창,images/station_tiles/satellite/4110_염창.png,images/station_tiles/satellite/4110_염창.png,0.3954441663886568,0.8678500986193294,0.5225799854780908,0.6425286749648927,0.25961538461538464,0.2915873927907348,0.8678500986193294,directional_mismatch
313,녹번,images/station_tiles/satellite/313_녹번.png,images/station_tiles/satellite/313_녹번.png,0.4194601624659042,0.03572211264518957,0.5221825706048149,0.672767694504428,0.5288461538461539,0.2636526408226141,0.03572211264518957,outer_hidden_demand
