MASTER_STATION_ID,master_station_name,min_x,max_x,min_y,max_y,station_lon,station_lat,n_cells,min_lon,min_lat,max_lon,max_lat
207,상왕십리,957875,959125,1951375,1952625,127.029354,37.564354,13,127.02296212476618,37.560767940158165,127.03718683329518,37.57209085560097
208,왕십리(성동구청),958625,959375,1950625,1951625,127.036954,37.561238,5,127.03151157275781,37.554041982788824,127.04005896375594,37.563088650052606
209,한양대,959125,960625,1950125,1951375,127.043655,37.555273,14,127.03718683329518,37.54955765855714,127.05423743906343,37.5608896218806
210,뚝섬,959375,960875,1949375,1950625,127.047367,37.547184,12,127.04005896375594,37.5428087373664,127.05710759618383,37.55414029524923
211,성수,960125,961625,1948375,1950625,127.055961,37.544581,32,127.04854993914668,37.533828167285336,127.06564960664794,37.55417184490083
212,건대입구,961125,962375,1948375,1949875,127.069191,37.540373,12,127.05991101048758,37.533870880810646,127.07413832251548,37.54744277955407
213,구의(광진구청),962375,964125,1947125,1949625,127.085916,37.537077,35,127.07407423875215,37.52265603005617,127.09400644509036,37.54525923705091
214,강변(동서울터미널),963375,965375,1947125,1949625,127.094681,37.535095,36,127.08539424956946,37.522696286712986,127.10815225356255,37.54530705526232
215,잠실나루,963625,965875,1946375,1948125,127.10379,37.520733,29,127.08829859755485,37.5159461285188,127.11384542506457,37.53180560427792
216,잠실(송파구청),963875,965125,1945375,1946875,127.100159,37.513262,16,127.09118958231204,37.50694253389848,127.10540614783753,37.520510772018646
217,잠실새내,962875,964125,1945375,1947375,127.086162,37.511687,27,127.07984803402063,37.506902841865255,127.09409188512086,37.5249791184845
218,종합운동장,961625,962625,1944875,1947125,127.073704,37.511022,16,127.06571493131379,37.502345002830495,127.07714595128033,37.522666195870805
219,삼성(무역센터),960625,961625,1944625,1945875,127.06316,37.508844,11,127.05446535544391,37.500049531454124,127.0658454715776,37.511358399567975
220,선릉,959375,960625,1944375,1945375,127.048203,37.504286,8,127.0403494444263,37.49774201349561,127.05454569355857,37.50680957267641
221,역삼,958375,959875,1943625,1945375,127.036456,37.500622,21,127.02903531498012,37.49093743183268,127.04610200472622,37.50677726384506
222,강남,957375,958625,1944125,1944875,127.027912,37.49799,7,127.0177502002182,37.49539848419811,127.03193418183807,37.50221538212681
223,교대(법원.검찰청),956375,957875,1943375,1944625,127.014667,37.493961,12,127.00645163409854,37.48859175959211,127.02349281921336,37.499928115223426
224,서초,955625,956875,1942875,1944625,127.007917,37.491897,18,126.99796685758415,37.4840493494202,127.01221075034773,37.49988193255985
225,방배,954625,956875,1940875,1943375,126.997596,37.481426,43,126.98673095586979,37.465974071814294,127.0123278985324,37.48861524767544
226,사당,953125,955125,1940625,1942375,126.981544,37.476538,26,126.96982773371916,37.46364586776486,126.99255423250871,37.47951851844161
227,낙성대,951625,953375,1939875,1943125,126.963693,37.47693,46,126.95281362120797,37.456808582106106,126.97281347445,37.48619182004091
228,서울대입구(관악구청),950875,952375,1941625,1943625,126.952739,37.481247,26,126.94429709044806,37.47254229741928,126.96139383450542,37.49064742963567
229,봉천,950125,951375,1941875,1943875,126.941892,37.482362,24,126.9357965009168,37.47475543083158,126.95006848062614,37.49284862123887
230,신림,948375,950375,1941875,1943125,126.929715,37.484201,13,126.91605343827821,37.47465929330182,126.93875932657278,37.486035472987076
231,신대방,947375,948875,1941375,1944125,126.913149,37.487462,34,126.9046711473651,37.470096258660206,126.9218303671928,37.494966866016696
232,구로디지털단지,946375,948125,1941125,1943875,126.901401,37.485266,37,126.89337728564787,37.46778545973314,126.91336667429023,37.49267172440409
233,대림(구로구청),945375,946875,1943375,1944875,126.894932,37.493243,17,126.88199129711063,37.48800652956642,126.89906926049593,37.5016138151124
234,신도림,945375,947125,1945375,1946375,126.891084,37.508961,9,126.88187982467286,37.50603282078431,126.90175323929873,37.515147913601076
235,문래,945625,947125,1945875,1947125,126.89476,37.517933,15,126.88465309125836,37.51055415259758,126.9017172719836,37.52190777277717
236,영등포구청,946125,947375,1947125,1948375,126.89661,37.525706,9,126.89021945362045,37.52184989771155,126.90445636360937,37.53318849250724
