priority_rank,station_id,nearest_station,nearest_line,quad_mobility_subway_label,quad_hidden_visual_label,quad_temporal_visual_label,quad_signature,reconstruction_label,reconstructed_latent_demand_score,axis_observed_subway_score,hidden_demand_reconstruction_score,hidden_demand_reconstruction_score_norm,axis_mobility_demand_score,axis_hidden_gap_score,axis_temporal_dynamics_score,axis_visual_morphology_score,surrounding_total_flow,subway_total_activity,mobility_minus_subway_gap,outer_1km_plus_share
57,4129,봉은사,9호선(연장),Observed Core Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S+H+V+T+,Morphology-Supported Hidden Demand,0.4813487424709039,0.1662446129681263,0.31510412950277766,0.6765557210488992,0.4239242053982693,0.4630500864194174,0.4914401946399806,0.7653228950883221,183475247.15,135248081,0.3301665174659014,0.0
58,2813,강동구청,8호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Already Captured Core Demand,0.4372467484880176,0.1222299396784005,0.3150168088096171,0.6764935205864518,0.3955326563440378,0.4404152728188489,0.4106693743405561,0.670193600603771,147096886.68,99440912,0.2754013442581255,0.0098781009088315
59,4710,정릉,우이신설선,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S-H+V-T+,High Priority Hidden Demand,0.340560810946939,0.0270656671696573,0.3134951437772817,0.6754096049042086,0.3080845361478283,0.4856711326937204,0.3055510234026871,0.1939478182644879,109561465.58,22022112,0.2686439499689728,0.0739523019074969
60,4137,둔촌오륜,9호선(연장),Hidden Transit Demand,Behavioral Hidden Demand,Stable Low-Intensity Area,M+S-H+V-T-,High Priority Hidden Demand,0.32512785763423646,0.0118781923125382,0.3132496653216983,0.6752347451670093,0.2664116791670273,0.4973278005621714,0.2093742389471401,0.3903580407910328,72897256.17,9666676,0.1842753994670399,0.1500343869527016
61,2528,여의나루,5호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Already Captured Core Demand,0.4482706135936776,0.1356068990948322,0.3126637144988454,0.6748173594267726,0.4107983898945878,0.4494154298748174,0.4263955557882188,0.6577836951476502,156345624.33,110323443,0.2871379103980769,0.0131891677738775
62,2518,화곡,5호선,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,M+S+H+V-T+,Already Captured Core Demand,0.6387652322620645,0.3275755142819012,0.3111897179801633,0.6737673990818737,0.6690332339926919,0.6694406250604641,0.656418156980607,0.3905648930411579,240640177.86,266495286,0.3240581992377714,0.2743958685835722
63,4702,솔밭공원,우이신설선,Low Demand / Peripheral,Behavioral Hidden Demand,Stable Low-Intensity Area,M-S-H+V-T-,Low Priority,0.32468604857331473,0.0144994112599667,0.31018663731334806,0.6730528825212564,0.2171416517443367,0.6146263220935976,0.1458622054812503,0.441432836687138,56214834.69,11799111,0.1363556290810444,0.33803162483337
64,315,무악재,3호선,Hidden Transit Demand,Behavioral Hidden Demand,Stable Low-Intensity Area,M+S-H+V-T-,High Priority Hidden Demand,0.3537445766001645,0.0464779788027381,0.3072665977974264,0.6709728737434902,0.2880023547759954,0.6884842183398794,0.2264704962242592,0.0672836312114489,84474111.95,37814571,0.1811107854831757,0.4023790766823207
65,4128,삼성중앙,9호선(연장),Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,M+S-H+V+T+,High Priority Hidden Demand,0.3664373659257223,0.0608299028214022,0.3056074631043201,0.6697910353792008,0.2565116016406299,0.4084732048326894,0.3135957135638659,0.8616970126649334,108187856.52,49490263,0.2311498900386909,0.0
66,4122,신반포,9호선,Low Demand / Peripheral,Morphology-Supported Hidden Demand,Stable Dense Urban Area,M-S-H+V+T-,Morphology-Supported Hidden Demand,0.3262705122285456,0.0221176850290992,0.30415282719944636,0.668754866028035,0.2352251242362174,0.4015376482369027,0.252326431361245,0.695695079907731,89297036.8,17996790,0.2185669904028065,0.0
