station_id,station_name,mob_vis_cosine_pca4,mobility_cluster,visual_cluster
2742,장승배기,0.046351773521814854,0,5
315,무악재,0.07009734826515322,4,2
2741,상도,0.07062981415527003,3,5
311,연신내,0.09605611714819157,3,2
2751,천왕,0.0964729493780479,4,2
2634,약수,0.1109012107838743,3,3
4131,삼전,0.11640594534318643,5,5
242,아현,0.11917568811666714,3,5
2754,부천종합운동장,0.1314584709959757,5,4
2549,강동,0.1326203787650372,0,5
339,수서,0.14210890807440238,3,3
2552,명일,0.14279011653540097,3,5
2647,화랑대(서울여대입구),0.14733956420282884,0,1
2820,장지,0.15209072219721947,1,3
4710,정릉,0.15262893474216963,4,2
2630,녹사평(용산구청),0.16967584294532212,3,1
2815,잠실(송파구청),0.17295676286326084,2,4
325,옥수,0.19113656622541048,3,0
221,역삼,0.20174968252252207,2,5
2550,길동,0.2136335029637817,0,3
2516,발산,0.23054734937333915,0,5
2525,영등포시장,0.23158672686479423,0,3
2632,한강진,0.23670640240152335,0,2
2531,애오개,0.24743760735590425,3,5
2522,오목교(목동운동장앞),0.2545951425743994,0,1
2543,답십리,0.2592028664150681,0,5
4119,흑석(중앙대입구),0.26041231906115797,4,0
323,약수,0.2666632708303489,3,3
2528,여의나루,0.2774689839763082,0,0
2624,상수,0.28545804548568243,0,0
2648,봉화산(서울의료원),0.29368947144053725,4,1
412,창동,0.304057262054761,0,5
213,구의(광진구청),0.31043226099682886,0,0
327,신사,0.3129854654938543,2,5
2540,행당,0.31409000896749256,3,5
4132,석촌고분,0.3268482295353058,0,5
2555,둔촌동,0.33690171145498665,0,3
2643,상월곡(한국과학기술연구원),0.3531001745249894,3,1
2752,온수(성공회대입구),0.3534807697433435,3,1
215,잠실나루,0.36284455400500265,0,0
4104,신방화,0.3636871001912841,3,5
434,남태령,0.39753532040326295,4,2
2747,남구로,0.40189882376338804,0,5
2714,마들,0.41205073866712916,0,5
2723,면목,0.42350606564332494,0,3
2748,가산디지털단지,0.42550002798330433,0,5
2612,역촌,0.43251269526951314,3,5
2521,목동,0.4348779906631282,0,5
2544,장한평,0.43696106053041794,0,0
427,숙대입구(갈월),0.45286185766837656,3,1
324,금호,0.5182800346463553,3,5
4707,삼양사거리,0.5219944382020235,3,5
2756,신중동,0.5332046010824538,5,5
2757,부천시청,0.549389317068492,1,5
2753,까치울,0.561245173592697,5,2
214,강변(동서울터미널),0.5691870549075743,0,0
2622,망원,0.5727682130752241,0,0
2539,신금호,0.5767526729902245,3,3
4711,성신여대입구(돈암),0.5809461093965376,3,1
2745,신풍,0.581889063884407,0,5
2559,개롱,0.6301277237498581,0,5
312,불광,0.6374827813645076,3,2
316,독립문,0.6540883555955717,3,2
2712,도봉산,0.6699122869295152,3,2
4129,봉은사,0.6713678137627047,0,0
2817,송파,0.7299889951873487,0,3
2633,버티고개,0.7675475713516406,3,2
423,충무로,0.7722013432195416,3,2
217,잠실새내,0.7820547859457294,0,0
4706,삼양,0.7996719447661695,3,1
2512,개화산,0.8059251918457704,3,5
2819,문정,0.8204411349119348,0,3
326,압구정,0.8287111464670432,2,0
2638,창신,0.8312586419157305,3,5
2557,방이,0.851771468802661,0,3
216,잠실(송파구청),0.8531165976488873,2,0
211,성수,0.8706122085975867,2,5
2731,청담,0.8728320232400066,0,0
341,경찰병원,0.8748428782554775,0,5
2548,천호(풍납토성),0.8793731880416606,0,0
2720,먹골,0.93745939653389,3,2
2515,마곡,0.9515872094706188,0,5
333,매봉,0.9527123394817064,0,5
