station_id,station_name,mobility_cluster,visual_cluster_pca8,mob_vis_agreement_pca8,mob_vis_mismatch_pca8,surrounding_total_flow,subway_total_activity,mobility_minus_subway_gap,outer_1km_plus_share,mapped_cell_count,active_cell_count
414,수유(강북구청),0,0,-0.43097567567923845,1.4309756756792384,203488513.32,343369007,0.1286843106220707,0.0659722319013107,31,31
239,홍대입구,2,0,-0.4304349386019189,1.4304349386019188,232294290.37,599957152,-0.1084997682762007,0.0,12,12
2718,공릉(서울과학기술대),0,0,-0.4300177973174338,1.4300177973174337,133150589.4,114920303,0.2185048334762091,0.0081947151335704,26,25
2738,이수,3,1,-0.4239372522671827,1.4239372522671827,59917911.39,148362408,-0.021454751307351,0.0,9,9
4108,증미,4,2,-0.4202660338331666,1.4202660338331665,97890754.79,32082684,0.2245873326989651,0.1050150499100059,49,25
2629,삼각지,3,1,-0.4194755501230959,1.4194755501230958,20520767.98,65235619,-0.0262510264148835,0.0,8,8
243,충정로(경기대입구),3,1,-0.4151770212049943,1.4151770212049943,17676483.33,97658154,-0.0738284780208315,0.0,4,4
234,신도림,3,1,-0.41460289869214745,1.4146028986921475,50752305.51,423889317,-0.3850240781200641,0.0,9,9
413,쌍문,0,0,-0.4031355753792505,1.4031355753792505,239649333.77,283088037,0.3009716726439251,0.1501808997497218,42,42
422,동대문역사문화공원,3,1,-0.4025231866013349,1.4025231866013348,16972796.259999998,166502216,-0.1603633166502611,0.0,2,2
231,신대방,0,4,-0.40198707733080746,1.4019870773308074,195200972.85,235300612,0.2390199519244265,0.140723235027668,34,32
236,영등포구청,3,0,-0.39739978633106166,1.3973997863310617,82336129.35,184594103,-0.005118032710582,0.0,9,9
2744,보라매,3,1,-0.3930654820682451,1.393065482068245,30004787.69,77000568,-0.0149602685597534,0.0,4,4
2814,몽촌토성(평화의문),3,3,-0.3901316849136838,1.3901316849136838,84518347.45,62320409,0.1511079811326285,0.0,10,10
4105,마곡나루,3,2,-0.38312990823524823,1.3831299082352482,63558328.78,42714647,0.1182939490433007,0.0006811922344569,23,15
4120,동작(현충원),4,2,-0.3809041739337507,1.3809041739337506,5839244.6,9263406,0.0026853810020348,0.0,26,9
2728,어린이대공원(세종대),0,0,-0.37731910624409026,1.3773191062440904,158095427.09,133142423,0.2638398212589081,0.0,25,23
205,동대문역사문화공원,3,1,-0.37683957664010204,1.376839576640102,53229374.81,153098842,-0.0454385353250277,0.0,4,4
152,종각,2,1,-0.37481128862493274,1.3748112886249326,161161367.39,209572449,0.1782160532390078,0.0,6,6
2715,노원,3,1,-0.3737596844996874,1.3737596844996873,91459464.65,200192367,0.0004813776175942,0.0,13,10
2545,군자(능동),3,0,-0.36550647640920914,1.365506476409209,52374963.39,119308818,-0.0062233877890012,0.0,11,10
