station_id,nearest_station,nearest_line,reconstruction_label,hidden_demand_reconstruction_score_norm,quad_mobility_subway_label,quad_hidden_visual_label,quad_temporal_visual_label,sem_dense_residential,sem_low_density_residential,sem_commercial_downtown,sem_mixed_use,sem_suburban_peripheral,sem_transit_hub,sem_low_transit_access,sem_road_oriented,sem_pedestrian_friendly,sem_green_mountain_area,sem_river_or_waterfront,sem_industrial_office,sem_university_area,sem_nightlife_entertainment,sem_traditional_market,top_semantic_1,top_semantic_1_score,top_semantic_3
2725,용마산,7호선,High Priority Hidden Demand,0.7274652997784844,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.26607063,0.28190762,0.24457937,0.2695881,0.28864416,0.24985515,0.2665478,0.27229577,0.2507657,0.28314802,0.29240686,0.2616912,0.27665046,0.26017863,0.22793482,river_or_waterfront,0.29240686,river_or_waterfront; suburban_peripheral; green_mountain_area
4101,개화,9호선,Low Priority,0.7269992565268274,Low Demand / Peripheral,Behavioral Hidden Demand,Stable Low-Intensity Area,0.2519108,0.26932406,0.23377573,0.26813364,0.2898359,0.27152905,0.2778127,0.28143805,0.24650444,0.26773745,0.30873257,0.27515388,0.2661822,0.24935278,0.21210845,river_or_waterfront,0.30873257,river_or_waterfront; suburban_peripheral; road_oriented
4701,북한산우이,우이신설선,High Priority Hidden Demand,0.7233260634401836,Hidden Transit Demand,Behavioral Hidden Demand,Stable Low-Intensity Area,0.21109402,0.24367866,0.19101937,0.22154567,0.26131615,0.22266881,0.23518808,0.22100341,0.22163886,0.29510942,0.25060087,0.22015342,0.23441584,0.22726034,0.1881803,green_mountain_area,0.29510942,green_mountain_area; suburban_peripheral; river_or_waterfront
2544,장한평,5호선,Morphology-Supported Hidden Demand,0.721211712944233,Observed Core Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.2692548,0.28461966,0.2565271,0.2758154,0.28490573,0.27591825,0.27932972,0.28962052,0.25820625,0.264185,0.30226102,0.26821426,0.26905495,0.25195366,0.23535877,river_or_waterfront,0.30226102,river_or_waterfront; road_oriented; suburban_peripheral
310,구파발,3호선,Already Captured Core Demand,0.7204579998620114,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.25237063,0.27615,0.2323471,0.257093,0.28368527,0.2524902,0.2697934,0.27178165,0.24374881,0.29160753,0.2819535,0.25564706,0.26647633,0.2505434,0.21813281,green_mountain_area,0.29160753,green_mountain_area; suburban_peripheral; river_or_waterfront
4106,양천향교,9호선,High Priority Hidden Demand,0.7199032516508522,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.23204365,0.2566526,0.21132278,0.2442563,0.2732468,0.23977932,0.25716084,0.24293417,0.24070027,0.25066686,0.30914557,0.24467194,0.2499103,0.23481014,0.19283533,river_or_waterfront,0.30914557,river_or_waterfront; suburban_peripheral; low_transit_access
2821,복정,8호선,High Priority Hidden Demand,0.7194360772643268,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.25577816,0.28105572,0.24506101,0.26963213,0.29350683,0.27308288,0.2787449,0.28649592,0.2620419,0.25720435,0.28519002,0.2571857,0.26816505,0.24945112,0.2149108,suburban_peripheral,0.29350683,suburban_peripheral; road_oriented; river_or_waterfront
2554,상일동,5호선,Already Captured Core Demand,0.719231212855992,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.26616067,0.2876557,0.24118748,0.2740973,0.29034954,0.27161428,0.2786025,0.28915998,0.25880605,0.26190078,0.30461663,0.2682109,0.2646044,0.24745592,0.20799059,river_or_waterfront,0.30461663,river_or_waterfront; suburban_peripheral; road_oriented
4132,석촌고분,9호선(연장),High Priority Hidden Demand,0.7186906626089533,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.27646786,0.30277157,0.25674778,0.27311912,0.29530382,0.2610971,0.28221905,0.27857244,0.2869574,0.2565671,0.30208644,0.2570194,0.27819937,0.2549662,0.23726748,low_density_residential,0.30277157,low_density_residential; river_or_waterfront; suburban_peripheral
2553,고덕,5호선,High Priority Hidden Demand,0.7171859154194962,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.2687934,0.28517497,0.24387228,0.27324224,0.28986952,0.25922215,0.27597588,0.28187644,0.2564364,0.2663498,0.3003988,0.2715982,0.27432266,0.2501407,0.22085565,river_or_waterfront,0.3003988,river_or_waterfront; suburban_peripheral; low_density_residential
2626,대흥(서강대앞),6호선,High Priority Hidden Demand,0.7165912483191108,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.25813624,0.2769209,0.23991242,0.2679723,0.28059497,0.2603819,0.2804342,0.28005475,0.2629187,0.26737952,0.2913583,0.25138313,0.27585953,0.25168297,0.22635823,river_or_waterfront,0.2913583,river_or_waterfront; suburban_peripheral; low_transit_access
2517,우장산,5호선,Already Captured Core Demand,0.7128586488710935,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.26475957,0.2869438,0.2414693,0.26700506,0.293539,0.258048,0.2738647,0.27135593,0.26365715,0.26293576,0.28686726,0.25508055,0.27616572,0.25318417,0.22224778,suburban_peripheral,0.293539,suburban_peripheral; low_density_residential; river_or_waterfront
341,경찰병원,3호선,High Priority Hidden Demand,0.7078735117541605,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.2733833,0.2926264,0.25500172,0.2806791,0.28634715,0.26148945,0.28250724,0.28299794,0.27380037,0.25669372,0.2825992,0.2547305,0.28227854,0.24956805,0.23128292,low_density_residential,0.2926264,low_density_residential; suburban_peripheral; road_oriented
4114,국회의사당,9호선,High Priority Hidden Demand,0.7073724861509011,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.24843995,0.26189312,0.2377289,0.2601246,0.26764554,0.27234656,0.2760469,0.2785206,0.25115782,0.24956195,0.3100279,0.26371428,0.25538313,0.24251139,0.21177599,river_or_waterfront,0.3100279,river_or_waterfront; road_oriented; low_transit_access
2616,구산,6호선,High Priority Hidden Demand,0.7057542051522193,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.26451662,0.284106,0.24231513,0.26699257,0.28988403,0.24633732,0.26913378,0.26730302,0.25321892,0.277992,0.28466102,0.25767288,0.27862275,0.25472066,0.21783742,suburban_peripheral,0.28988403,suburban_peripheral; river_or_waterfront; low_density_residential
2618,증산(명지대앞),6호선,High Priority Hidden Demand,0.7040586304518878,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.28281006,0.30060798,0.2516682,0.2754974,0.3003529,0.26351392,0.28645724,0.28911653,0.2659814,0.27851138,0.2934236,0.2657975,0.29385304,0.26181483,0.23665673,low_density_residential,0.30060798,low_density_residential; suburban_peripheral; university_area
2755,춘의,7호선,Morphology-Supported Hidden Demand,0.7030467903330531,Low Demand / Peripheral,Morphology-Supported Hidden Demand,Stable Dense Urban Area,0.27735823,0.29342914,0.26146212,0.27683884,0.28912318,0.27288115,0.28153455,0.28663713,0.2661077,0.26848423,0.2935782,0.26546013,0.27045584,0.25505516,0.23682268,river_or_waterfront,0.2935782,river_or_waterfront; low_density_residential; suburban_peripheral
4110,염창,9호선,High Priority Hidden Demand,0.7026908633340146,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.24934384,0.26875964,0.23252468,0.2587098,0.28092247,0.2518183,0.27271625,0.2743138,0.24895415,0.25491267,0.3112517,0.2591523,0.26855513,0.2534039,0.2164202,river_or_waterfront,0.3112517,river_or_waterfront; suburban_peripheral; road_oriented
2525,영등포시장,5호선,Morphology-Supported Hidden Demand,0.7014481550256653,Observed Core Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.26125556,0.27629656,0.25478905,0.26758277,0.2760716,0.25417483,0.27635297,0.27274778,0.2619933,0.26069862,0.28359002,0.25300008,0.27448004,0.25125015,0.2373565,river_or_waterfront,0.28359002,river_or_waterfront; low_transit_access; low_density_residential
213,구의(광진구청),2호선,Morphology-Supported Hidden Demand,0.6979287975654592,Observed Core Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.27017236,0.29154983,0.24889696,0.2665164,0.28223062,0.26104173,0.27896,0.28305066,0.26471758,0.25330207,0.31375974,0.26015937,0.27543092,0.25192708,0.22616835,river_or_waterfront,0.31375974,river_or_waterfront; low_density_residential; road_oriented
2515,마곡,5호선,High Priority Hidden Demand,0.6959083890029542,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.27724692,0.29657587,0.26391283,0.2797283,0.28693444,0.27094993,0.28502506,0.28204405,0.27758738,0.26055747,0.28575015,0.2630283,0.2833621,0.25597644,0.24380782,low_density_residential,0.29657587,low_density_residential; suburban_peripheral; river_or_waterfront
2739,남성,7호선,Already Captured Core Demand,0.6906136769529289,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.2746022,0.2921793,0.25032607,0.2754866,0.29222977,0.26393747,0.28865725,0.28362018,0.26587993,0.27086776,0.2994706,0.2698867,0.28755984,0.25247908,0.23163113,river_or_waterfront,0.2994706,river_or_waterfront; suburban_peripheral; low_density_residential
428,삼각지,4호선,High Priority Hidden Demand,0.6889077378665411,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.26181632,0.27262753,0.25808263,0.2711805,0.2705802,0.26034376,0.27313522,0.2756607,0.25565305,0.25356755,0.2778151,0.26688367,0.27926272,0.25556785,0.24348976,university_area,0.27926272,university_area; river_or_waterfront; road_oriented
2550,길동,5호선,High Priority Hidden Demand,0.6856570012036122,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.2723779,0.29222065,0.25242507,0.27558815,0.286142,0.2526012,0.27918968,0.27960837,0.2697968,0.2713026,0.28737655,0.24933979,0.2847168,0.25725263,0.23910369,low_density_residential,0.29222065,low_density_residential; river_or_waterfront; suburban_peripheral
2617,새절(신사),6호선,Already Captured Core Demand,0.6853243973789865,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.271231,0.28858376,0.24928808,0.27239463,0.29564053,0.2532322,0.27837786,0.27419978,0.25919354,0.2800005,0.28691497,0.2624231,0.2859668,0.25923818,0.23409995,suburban_peripheral,0.29564053,suburban_peripheral; low_density_residential; river_or_waterfront
4124,사평,9호선,Morphology-Supported Hidden Demand,0.6852384820962064,Low Demand / Peripheral,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.28392273,0.30072695,0.2663814,0.28548872,0.29491678,0.27755266,0.2889564,0.29206204,0.28257802,0.264933,0.28813985,0.26620096,0.28764847,0.26520815,0.25002035,low_density_residential,0.30072695,low_density_residential; suburban_peripheral; road_oriented
4108,증미,9호선,High Priority Hidden Demand,0.684731494777743,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.24932659,0.26249802,0.22971685,0.2572141,0.27716464,0.25517008,0.27201024,0.27222785,0.24571478,0.26285672,0.32340336,0.265895,0.26443627,0.25032547,0.21275082,river_or_waterfront,0.32340336,river_or_waterfront; suburban_peripheral; road_oriented
410,상계,4호선,Already Captured Core Demand,0.6806919194356742,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.2623785,0.28554907,0.23568623,0.26621363,0.29412204,0.2584157,0.28165337,0.2639513,0.25645307,0.28287852,0.2788444,0.25120637,0.2799936,0.25414026,0.22207324,suburban_peripheral,0.29412204,suburban_peripheral; low_density_residential; green_mountain_area
4118,노들,9호선,High Priority Hidden Demand,0.6801791033162498,Hidden Transit Demand,Behavioral Hidden Demand,Stable Low-Intensity Area,0.24198705,0.26156422,0.22343877,0.25823092,0.26775086,0.2732892,0.27225077,0.28612924,0.2522644,0.2504803,0.30424258,0.25036716,0.25094405,0.24363999,0.20051268,river_or_waterfront,0.30424258,river_or_waterfront; road_oriented; transit_hub
247,도림천,2호선,Morphology-Supported Hidden Demand,0.6801155043015065,Low Demand / Peripheral,Morphology-Supported Hidden Demand,Stable Dense Urban Area,0.25659654,0.27025932,0.24466814,0.2704838,0.2787418,0.275406,0.2822613,0.30344307,0.25903362,0.2563877,0.30323666,0.2597477,0.26649886,0.24797112,0.22884694,road_oriented,0.30344307,road_oriented; river_or_waterfront; low_transit_access
313,녹번,3호선,Already Captured Core Demand,0.678698097452277,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.25555283,0.27338862,0.22610635,0.2585287,0.28217983,0.24412665,0.26787364,0.26322114,0.24343127,0.2879721,0.2796395,0.2481809,0.2680135,0.24531034,0.21089925,green_mountain_area,0.2879721,green_mountain_area; suburban_peripheral; river_or_waterfront
2551,굽은다리(강동구민회관앞),5호선,High Priority Hidden Demand,0.677049244376362,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.27268636,0.29329094,0.24586129,0.27674335,0.29455853,0.25152302,0.27679458,0.28089413,0.26845172,0.28072655,0.29791144,0.25221413,0.29210386,0.25876904,0.23038954,river_or_waterfront,0.29791144,river_or_waterfront; suburban_peripheral; low_density_residential
4129,봉은사,9호선(연장),Morphology-Supported Hidden Demand,0.6765557210488992,Observed Core Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.2438024,0.25991088,0.23943377,0.26215965,0.26537403,0.27635086,0.27710468,0.27278948,0.25236723,0.24121028,0.30159602,0.26231015,0.25380415,0.24946466,0.22062904,river_or_waterfront,0.30159602,river_or_waterfront; low_transit_access; transit_hub
2813,강동구청,8호선,Already Captured Core Demand,0.6764935205864518,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.24914335,0.26723617,0.24023354,0.26291883,0.26956767,0.26750073,0.2724479,0.27023196,0.25488335,0.24336074,0.30330357,0.255169,0.25939995,0.25158727,0.2116479,river_or_waterfront,0.30330357,river_or_waterfront; low_transit_access; road_oriented
4710,정릉,우이신설선,High Priority Hidden Demand,0.6754096049042086,Hidden Transit Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.25015602,0.27506563,0.2184189,0.2571926,0.29218292,0.25433853,0.27235726,0.26050472,0.24744049,0.281676,0.2847495,0.24615937,0.27170378,0.25090367,0.2052443,suburban_peripheral,0.29218292,suburban_peripheral; river_or_waterfront; green_mountain_area
4137,둔촌오륜,9호선(연장),High Priority Hidden Demand,0.6752347451670093,Hidden Transit Demand,Behavioral Hidden Demand,Stable Low-Intensity Area,0.26832056,0.28900293,0.2496536,0.27388722,0.2885619,0.26826406,0.28041732,0.2759633,0.2699942,0.27054635,0.2879456,0.25581878,0.27670062,0.25676188,0.21868788,low_density_residential,0.28900293,low_density_residential; suburban_peripheral; river_or_waterfront
2528,여의나루,5호선,Already Captured Core Demand,0.6748173594267726,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.24725476,0.26496136,0.2347468,0.25817752,0.27314088,0.26815444,0.27101487,0.26724842,0.24801871,0.25850964,0.31135565,0.26363838,0.25795817,0.24485722,0.20640212,river_or_waterfront,0.31135565,river_or_waterfront; suburban_peripheral; low_transit_access
2518,화곡,5호선,Already Captured Core Demand,0.6737673990818737,Observed Core Demand,Behavioral Hidden Demand,Dynamic Behavioral Area,0.28073242,0.30244866,0.25909638,0.28067568,0.30200815,0.26090693,0.2895619,0.2881608,0.27693814,0.27461964,0.28981167,0.26287264,0.29347628,0.25900352,0.24271622,low_density_residential,0.30244866,low_density_residential; suburban_peripheral; university_area
4702,솔밭공원,우이신설선,Low Priority,0.6730528825212564,Low Demand / Peripheral,Behavioral Hidden Demand,Stable Low-Intensity Area,0.24952626,0.26453722,0.2233652,0.24437279,0.27331033,0.23929442,0.2535226,0.25539055,0.24381594,0.2845706,0.27477407,0.22852811,0.253753,0.24198385,0.21558523,green_mountain_area,0.2845706,green_mountain_area; river_or_waterfront; suburban_peripheral
315,무악재,3호선,High Priority Hidden Demand,0.6709728737434902,Hidden Transit Demand,Behavioral Hidden Demand,Stable Low-Intensity Area,0.25289974,0.27825058,0.22772631,0.25998464,0.29109874,0.24882519,0.27388385,0.26131457,0.25243893,0.27919596,0.2737029,0.24607468,0.2708795,0.24680367,0.20693982,suburban_peripheral,0.29109874,suburban_peripheral; green_mountain_area; low_density_residential
4128,삼성중앙,9호선(연장),High Priority Hidden Demand,0.6697910353792008,Hidden Transit Demand,Morphology-Supported Hidden Demand,Dynamic Dense Urban Area,0.27545404,0.29028994,0.26871747,0.28087574,0.27916935,0.27171716,0.2899891,0.28873372,0.27546525,0.26048896,0.28801018,0.26410466,0.28844792,0.25983936,0.24822316,low_density_residential,0.29028994,low_density_residential; low_transit_access; road_oriented
4122,신반포,9호선,Morphology-Supported Hidden Demand,0.668754866028035,Low Demand / Peripheral,Morphology-Supported Hidden Demand,Stable Dense Urban Area,0.27465996,0.28836972,0.25196004,0.27775735,0.28926173,0.27640396,0.2893477,0.29226884,0.26049715,0.2649298,0.32137257,0.28129837,0.28015968,0.2591274,0.23030703,river_or_waterfront,0.32137257,river_or_waterfront; road_oriented; low_transit_access
