station_id,station_name,mobility_visual_cluster,mobility_visual_pca_x,mobility_visual_pca_y
2746,대림(구로구청),0,10.457868947264483,-4.604164257224795
2817,송파,3,8.050818932493016,3.2715541127949823
2745,신풍,4,5.060814920330784,-8.738618053763586
420,혜화,1,-20.0472684977259,-8.295671643777931
2548,천호(풍납토성),2,6.479999914973381,18.359976822727194
2559,개롱,3,-1.3347544971167313,3.4029097784403666
4710,정릉,1,-20.441523448450784,-7.345351754880503
217,잠실새내,2,5.23747191349889,19.125729972305518
2547,광나루(장신대),2,-17.846250101162845,16.36189349870961
2723,면목,0,-2.3027028050887552,-3.202759515579209
2644,돌곶이,4,-9.393349306934295,-6.4387394363110335
2533,서대문,4,-0.5009926328133628,-13.45633422214891
2631,이태원,4,-4.332250486312197,-6.707172916594439
335,대치,3,13.93515880321887,-4.989751192666712
4138,중앙보훈병원,1,-24.86316577051604,-2.4754883230947993
2632,한강진,1,-18.318737389002703,-6.166931126696651
232,구로디지털단지,0,-2.273805888717723,-7.078928832411564
2539,신금호,4,-3.9613055803137183,-11.637374395967091
432,총신대입구(이수),4,2.612558424831857,-11.848933755020353
4128,삼성중앙,0,13.052700054795295,-6.561069943246581
2621,마포구청,2,-0.7024643308645003,15.555196153535519
227,낙성대,1,-16.17880577105267,-3.6069722292278947
2821,복정,1,-13.050816635799963,5.484365409914545
2555,둔촌동,0,8.351451210722807,-6.797584467457317
2742,장승배기,4,0.880471262742053,-11.045572904280167
228,서울대입구(관악구청),4,-4.203283881950912,-7.87594802012741
2726,중곡,1,-11.415641777606778,3.6623530480261057
2724,사가정,1,-16.644541288259152,-1.2060480923399097
4119,흑석(중앙대입구),2,-5.48415828619613,19.25473802670461
4704,가오리,1,-17.522684115714956,1.2752645751487264
4124,사평,3,11.854828027278243,-3.696782404267875
2552,명일,0,4.790328823704981,-8.635613486987491
4131,삼전,0,5.640263077445989,8.796081625838884
2758,상동,3,11.871031018112701,4.8662842061205955
2741,상도,4,-6.393284829591207,-9.682694077920768
4118,노들,2,-1.0242552553780577,26.718003678128444
4108,증미,2,-3.3632542985044993,27.728501259102565
2731,청담,2,2.6879668456229036,18.559501472777367
4130,종합운동장,2,7.724303195668812,20.081755050929534
2743,신대방삼거리,4,-5.204679461200092,-13.381449837883595
2647,화랑대(서울여대입구),4,-11.77451493726734,-3.2669036283201285
2615,연신내,1,-22.64123387510142,-1.9750768591301162
4134,송파나루,3,11.31059512722659,2.576933793815492
207,상왕십리,0,10.373129395702348,-8.423328588273474
2612,역촌,0,4.386442486208889,-10.937801060299405
2540,행당,4,-0.8910288679906391,-13.410273916781408
240,신촌,5,10.922792590294062,-11.810255343752356
4126,언주,0,11.098537054383263,-9.838449089028408
2523,양평,3,8.716729549181204,8.094825457526108
2737,내방,4,0.6143681304020734,-8.330584348271007
4115,여의도,3,13.150421456520396,9.709228063616326
2730,뚝섬유원지,2,3.024096945412146,25.419377991069844
4123,고속터미널,2,7.920257663335092,16.335310830905115
4122,신반포,2,3.394133784620254,21.202186037015352
223,교대(법원.검찰청),0,9.832346714602087,-9.90115191379418
247,도림천,3,8.760727403263097,7.132501677690314
2755,춘의,0,8.049629590049097,6.628096212326235
235,문래,3,14.596891583813667,0.666471248248983
2734,논현,0,9.350761995481298,-5.194375010287823
4113,당산,3,4.750059121671022,8.378277532020533
158,청량리(서울시립대입구),0,13.542427465674367,-1.3137695276533623
315,무악재,1,-27.1078301499055,-7.609167218240702
2537,동대문역사문화공원,5,18.013190045521764,-9.849260440310047
4112,선유도,2,2.994248325107166,23.45247227234092
242,아현,4,0.004893939238294674,-9.69529408953038
4104,신방화,0,5.944794902959722,-8.688274866229818
233,대림(구로구청),0,7.351614957700562,-7.332015310668303
2814,몽촌토성(평화의문),3,10.491206145167942,7.733284553196044
421,동대문,5,7.524988462818667,-3.0657735827246246
2727,군자(능동),0,9.541094673896433,-1.501411488988084
214,강변(동서울터미널),2,4.6521724803572075,23.493324519704004
