station_id,mean_abs_error,mean_uncertainty,error_rank,uncertainty_rank,STATION_ID,observed_steps,coverage,sparsity,temporal_entropy,subway_total,subway_norm,MASTER_STATION_ID,cell_total,cell_imbalance,cell_norm,hidden_demand_score,observation_bias_score
245,0.2016363073362126,0.10948723885008975,47.0,67.0,245,785,0.9356376638855781,0.06436233611442188,6.442587852478027,49101,0.013641014,245.0,1103629.5,0.10648757558383155,0.14324255,0.12960154,0.34696835905822626
246,0.20053280386556355,0.11315032073577483,49.0,57.0,246,801,0.9547079856972587,0.045292014302741324,6.4457502365112305,111818,0.031066537,246.0,1219118.35,0.013209496614871353,0.15824929,0.12718275,0.19829750000501037
247,0.25414316159865213,0.15076652941634028,2.0,7.0,247,785,0.9356376638855781,0.06436233611442188,6.400456428527832,32108,0.008919616,247.0,1828682.56,0.06371925615992882,0.23745663,0.22853702,0.31043484439961627
248,0.14031559221209988,0.07111349094304302,212.0,226.0,248,808,0.9630512514898689,0.03694874851013108,6.499302387237549,215186,0.05978668,248.0,4020671.88,0.09315864444666042,0.5222859,0.4624992,0.4131527967191566
249,0.13651729174667876,0.06295128263614425,228.0,280.0,249,808,0.9630512514898689,0.03694874851013108,6.49571418762207,291487,0.08098643,249.0,4890708.17,0.06972926180345893,0.6353392,0.55435276,0.40394780307380646
250,0.23033646002175312,0.12764280350021429,12.0,29.0,250,796,0.9487485101311085,0.0512514898688915,6.453408241271973,81958,0.022770124,250.0,1420796.41,0.020809392779088394,0.18445551,0.16168539,0.22172662001554577
309,0.23721432680234544,0.12626484015749564,9.0,31.0,309,770,0.9177592371871275,0.08224076281287251,6.410568714141846,38784,0.010774501,309.0,837485.71,0.013696063561647966,0.10865956,0.09788506,0.20294251375826855
310,0.14849993053764582,0.07345312801744079,180.0,209.0,310,812,0.9678188319427891,0.03218116805721094,6.5001959800720215,577506,0.160455,310.0,4073542.62,0.017168403936878813,0.5291559,0.36870092,0.26926614160593604
311,0.11693031054640575,0.06554215993687865,296.0,268.0,311,811,0.966626936829559,0.033373063170440975,6.511116027832031,1260184,0.3501328,311.0,1553316.13,0.03736497233160426,0.20167527,-0.14845753,0.1518755225219753
312,0.1435503493491856,0.07481176239320089,199.0,196.0,312,803,0.9570917759237187,0.042908224076281254,6.5035295486450195,595519,0.16545981,312.0,1538121.19,0.0356926374784298,0.19970083,0.03424102,0.20495888180542332
313,0.11818927428315557,0.06122720470681552,290.0,292.0,313,813,0.9690107270560191,0.030989272943980906,6.469722270965576,400516,0.11127945,313.0,3263621.91,0.0543853953244678,0.42391405,0.3126346,0.30927971950896826
314,0.11774497988914691,0.0690355459279898,292.0,242.0,314,810,0.965435041716329,0.03456495828367101,6.5016303062438965,607551,0.16880283,314.0,4838781.76,0.060045922335437985,0.6285919,0.45978907,0.361306752188129
315,0.1453119702500454,0.0833173544190469,194.0,157.0,315,802,0.9558998808104887,0.04410011918951129,6.493237495422363,135357,0.037606698,315.0,1633086.41,0.024397229783957995,0.2120407,0.17443399,0.2284495800786848
316,0.19245480221533587,0.09587052235091548,62.0,105.0,316,814,0.9702026221692491,0.02979737783075087,6.5210137367248535,234154,0.06505682,316.0,1582439.98,0.02987366867241134,0.20545965,0.14040282,0.2222279169976735
317,0.1312386615467923,0.07633806636172626,253.0,192.0,317,815,0.9713945172824792,0.028605482717520836,6.45768928527832,696166,0.19342394,317.0,3409088.0,0.07361107264818088,0.44281605,0.2493921,0.31952066942723817
318,0.14545127341582895,0.07898544229434,193.0,176.0,318,808,0.9630512514898689,0.03694874851013108,6.4547624588012695,758607,0.21077278,318.0,3702255.1,0.026761508435811245,0.48091045,0.27013767,0.2571273025807569
319,0.1414085776308581,0.07880407726273886,206.0,178.0,319,807,0.9618593563766389,0.038140643623361115,6.428121089935303,262663,0.07297787,319.0,429444.16,0.013710228229287151,0.055638254,-0.017339617,0.15518848854200348
320,0.1389963861377466,0.07601046992709769,219.0,193.0,320,808,0.9630512514898689,0.03694874851013108,6.366876125335693,286190,0.0795147,320.0,575970.72,0.015063051477775901,0.074678056,-0.0048366413,0.16043412207929586
321,0.12128129704958854,0.14425313031773954,281.0,13.0,321,36,0.04290822407628129,0.9570917759237187,3.543470859527588,39,9.446685e-06,321.0,682374.44,0.02153940995443705,0.088504255,0.08849481,0.5037722280918723
322,0.1872845807541456,0.08538810324056868,75.0,147.0,322,807,0.9618593563766389,0.038140643623361115,6.452907562255859,339489,0.094323486,322.0,1141241.79,0.027331121617987217,0.14812993,0.05380644,0.1962910854110748
323,0.1347155196976567,0.08887489851756346,235.0,132.0,323,809,0.964243146603099,0.035756853396901045,6.504798889160156,457975,0.12724407,323.0,715250.37,0.01525701785253125,0.09277619,-0.034467883,0.15182560340404794
324,0.139406601244968,0.0684199962410189,217.0,247.0,324,804,0.9582836710369488,0.04171632896305122,6.50092887878418,271840,0.07552764,324.0,1523224.71,0.030733202428702852,0.19776516,0.12223752,0.22229148669521345
325,0.1327807653843174,0.07204276451153595,245.0,218.0,325,811,0.966626936829559,0.033373063170440975,6.497897148132324,297331,0.08261015,325.0,1096648.9300000002,0.03830183836567039,0.14233547,0.05972532,0.2130572515605317
