MASTER_STATION_ID,nearest_station,nearest_line,mapped_cell_count,active_cell_count,surrounding_total_flow,surrounding_outflow,surrounding_inflow,surrounding_netflow,mean_cell_flow,median_cell_flow,max_cell_flow,mean_distance_m,min_distance_m,max_distance_m,mean_directional_imbalance,morning_peak_flow,daytime_flow,evening_peak_flow,night_flow,mean_temporal_entropy,active_cell_ratio,station_abs_net_flow,station_directional_imbalance,dominant_period,period_entropy,distance_band_entropy,outer_1km_plus_share,subway_out_sum,subway_in_sum,subway_net_sum,subway_record_count,subway_file_count,subway_total_activity,subway_abs_net_flow,subway_directional_imbalance,mobility_norm,subway_norm,mobility_minus_subway_gap,hidden_demand_score,subway_overrepresentation_score,distance_norm,distance_weighted_hidden_demand,outer_hidden_demand_score,diverse_living_area_score,directional_mismatch_score,station_type
2820,장지,8호선,40,38,224103669.76999998,112536644.41,111567025.36,-969619.05,5602591.7442499995,4179829.4849999994,30473461.119999997,772.5166744025,128.1088959,1678.684409,0.0629286014810854,40052689.94,0.0,47030168.31,137020811.52,0.8796650384833813,0.95,969619.05,0.004326654048080206,night,0.9362064624899306,1.3701281244308974,0.2616778461066073,80539223,74315822,-6223401,243371,6096,154855045,6223401,0.040188558273965176,0.6067313674647434,0.19034576753478344,0.41638559992996,0.4912426196372381,0.07485701970727812,0.2709301618075266,0.16438182756092481,0.12854731062243982,0.2613034903575837,0.02175854219086085,diverse_living_area_hidden
213,구의(광진구청),2호선,35,33,253085011.18,126806675.41,126278335.77,-528339.64,7231000.3194285715,5331589.8,24798251.490000002,651.9985329285714,104.1865582,1376.646346,0.023371026147555207,46127715.27,0.0,51112193.92,155845101.99,0.8770638668509738,0.9428571428571428,528339.64,0.0020875975133281695,night,0.9319063880217111,1.1208069268172627,0.05615341285419857,117864674,113046672,-4818002,245200,6096,230911346,4818002,0.020865159220023775,0.6854257456276165,0.28383523720327475,0.40159050842434174,0.4908777665321705,0.08928725810782877,0.22826002322226738,0.15645529661409968,0.02756446188502787,0.20827013353170865,0.012870624233880416,diverse_living_area_hidden
2750,광명사거리,7호선,131,92,235605602.13,118198405.72,117407196.41,-791209.3099999999,1798516.046793893,65294.38,18095702.83,1965.6389125819846,97.31963034,4430.144025,0.04775458914855728,42524878.62,0.0,46717826.82,146362896.69,0.6360640040954549,0.7022900763358778,791209.3099999999,0.003358193959935786,night,0.9255958591569152,1.3852019965158175,0.26634293472943577,96503551,93437915,-3065636,246290,6096,189941466,3065636,0.016139898593812055,0.6379630969398088,0.2334744872953647,0.4044886096444441,0.4890149899684239,0.0845263803239798,0.6933619270972912,0.4423393223111418,0.13024568755487562,0.24680150241547108,0.00815425587239761,diverse_living_area_hidden
2749,철산,7호선,96,71,228846966.66,114564905.61,114282061.05,-282844.56,2383822.569375,59407.655,29056706.42,1529.006581005,69.50639028,4070.767624,0.06384859306820606,39528742.35,0.0,46278808.37,143039415.94,0.6611668121988842,0.7395833333333334,282844.56,0.001235955031994043,night,0.9202791385243649,1.4949816595382772,0.2202223258430845,91876652,92792261,915609,244875,6096,184668913,915609,0.004958111168391401,0.6196110611241834,0.22699339135343857,0.39261766977074486,0.47896344503950233,0.08634577526875746,0.5387697480996984,0.33382769532166306,0.10547844386041558,0.2523165188865939,0.0023062891133430576,diverse_living_area_hidden
2757,부천시청,7호선,47,39,189524526.42,95016672.83,94507853.59,-508819.24,4032436.7323404253,2877196.91,44834355.33,1510.6866337761703,86.58003198,2919.702182,0.061338099813869576,34837646.47,0.0,40531719.77,114155160.17999999,0.7839015466094278,0.8297872340425532,508819.24,0.0026847144779162772,night,0.9465701898852179,1.4657970694743003,0.4351262478675028,28174556,28137159,-37397,136828,3487,56311715,37397,0.0006641069269511682,0.5128370185166942,0.0692149270924231,0.44362209142427106,0.4773410416697655,0.03371895024549448,0.5322834658058587,0.2729746656096093,0.20770361641493038,0.28796069729929763,0.0010362423520292657,diverse_living_area_hidden
248,양천구청,2호선,40,36,187174444.5,94323178.52,92851265.98,-1471912.54,4679361.1125,602808.525,20156673.759999998,631.3366327065,85.82943546,1294.489524,0.08181812649367387,35289885.26,0.0,36619890.58,115264668.66,0.8203842170787654,0.9,1471912.54,0.007863854191911332,night,0.9323078104443538,0.9517359247390439,0.12273371245399903,29677175,30203982,526807,242907,6096,59881157,526807,0.008797542104939623,0.506455732270834,0.07360253515651287,0.4328531971143211,0.46917930643115247,0.03632610931683134,0.22094455905124621,0.11189863844555542,0.05758411808488776,0.16943907043120351,0.0004728715957051698,mobility_high_subway_low
4709,북한산보국문,우이신설선,136,66,173775205.82999998,87725007.91,86050197.92,-1674809.99,1277758.8663970586,0.0,13470005.73,1859.7929691567647,57.45526842,3612.986837,0.026578850953164725,30385654.58,0.0,31988034.349999998,111401516.9,0.421185694596506,0.4852941176470588,1674809.99,0.009637796036555558,night,0.9014769914038666,1.320020339704375,0.18336006732267213,9944507,20021508,10077001,218027,5604,29966015,10077001,0.3362809836409679,0.4700721591271928,0.03683042391963309,0.4332417352075597,0.45275920223372107,0.019517467026161358,0.6558865643062156,0.30831401342593917,0.08301795780253442,0.1853039813097292,0.1535458684613948,directional_mismatch
410,상계,4호선,66,36,208836382.0,105245886.92999999,103590495.07,-1655391.86,3164187.606060606,47648.66,18494975.18,1115.6714852525756,86.44025577,2263.272191,0.05053163688696245,36331589.06,0.0,41809710.9,130695082.03999999,0.48373308661596903,0.5454545454545454,1655391.86,0.00792674075343826,night,0.9195781490771985,1.2616740412604464,0.24693496274992927,93979892,84807884,-9172008,245018,6096,178787776,9172008,0.051301091188695136,0.5652753941094445,0.21976421544100835,0.34551117866843617,0.44104809061487565,0.09553691194643948,0.3924260889442614,0.22182881208679528,0.10891019382691175,0.19520523646260257,0.024518453036530986,diverse_living_area_hidden
211,성수,2호선,32,30,271949529.45,134182709.59,137766819.86,3584110.27,8498422.7953125,4900864.91,36635059.86,583.912216875,117.0103875,1021.319872,0.02668741701754614,45374130.87,0.0,65986063.8,160589334.78,0.8846066227762184,0.9375,3584110.27,0.01317932146177501,night,0.9534526089210564,1.1712426277960395,0.024679634245272638,159605776,169306151,9700375,246304,6096,328911927,9700375,0.029492317558919047,0.7366494455108651,0.40429892297855363,0.33235052253231145,0.4388228680780736,0.10647234554576215,0.20415367287339367,0.15038968992119198,0.010829987882628381,0.21948993182796026,0.012016959529582063,diverse_living_area_hidden
2518,화곡,5호선,54,52,240640177.86,120843362.25,119796815.61,-1046546.6399999999,4456299.59,3738584.1550000003,15899412.440000001,891.5597118518518,116.8667648,1916.582448,0.04561551033608633,43508180.03,0.0,48303059.58,148828938.25,0.8951156193834579,0.9629629629629629,1046546.6399999999,0.0043490104159117655,night,0.9287430539131157,1.338080908841534,0.2743958685835722,140444305,126050981,-14393324,245837,6096,266495286,14393324,0.054009675803421156,0.6516337135196727,0.32757551428190124,0.32405819923777146,0.4381744646900408,0.11411626545226936,0.3130780313602022,0.2040122001966771,0.12023326282976551,0.21777362465998165,0.03236056380232062,diverse_living_area_hidden
