station_id,mean_abs_error,mean_uncertainty,error_rank,uncertainty_rank
2535,0.1297286392219128,0.0708637880316625,261.0,227.0
2536,0.1496075365064103,0.0882545157010475,177.0,134.0
2537,0.2218896071943972,0.10380215860371081,18.0,85.0
2538,0.22330812085419896,0.11905563548429025,17.0,46.0
2539,0.18987497604407721,0.08746832752312046,68.0,136.0
2540,0.12740244921740318,0.06916252690374791,266.0,240.0
2541,0.16380305805073558,0.10480402741462934,123.0,81.0
2542,0.19396390889564324,0.11488982622016458,58.0,55.0
2543,0.11797204695287206,0.07065405341951797,291.0,228.0
2544,0.20176083768407502,0.13662710092400038,46.0,17.0
2545,0.15557798963808822,0.07252471145456799,153.0,215.0
2546,0.12429134869090618,0.06721180783333405,275.0,255.0
2547,0.14689464698589988,0.08647206637136166,187.0,140.0
2548,0.20483922300830718,0.16285877913968377,38.0,3.0
2549,0.16161506858077782,0.08272462340426585,136.0,161.0
2550,0.17011999937868313,0.08969929000540147,110.0,129.0
2551,0.15285217020483252,0.07786465575327241,163.0,183.0
2552,0.16239656043933728,0.07698312845332399,130.0,190.0
2553,0.20058918166905643,0.10404301666809866,48.0,84.0
2554,0.14615091961468502,0.06374922822828272,191.0,277.0
2555,0.1398310341709663,0.07785314154212501,216.0,185.0
2556,0.20701595790063348,0.11982271109840702,34.0,44.0
2557,0.22770122887921482,0.1467018110662817,14.0,8.0
2558,0.20693913347619988,0.11285351913215388,35.0,58.0
2559,0.17442481243421162,0.09217381180404492,97.0,118.0
2560,0.15530710770704206,0.08070625745440047,155.0,170.0
2561,0.1663042499358574,0.0798841260769035,121.0,171.0
2611,0.10995868055652533,0.05796965659625592,303.0,299.0
2612,0.1823624910032822,0.09197536940346396,85.0,119.0
2613,0.21854745682831558,0.10533501049466729,22.0,76.0
2614,0.16938120112976143,0.08637785655002862,113.0,143.0
2615,0.05555907576566649,0.12314716894253502,307.0,37.0
2616,0.15395627622862187,0.07426655116964073,161.0,199.0
2617,0.1326644258204079,0.06622534102006328,247.0,259.0
2618,0.12436372292568049,0.05475094508239261,274.0,305.0
2619,0.16881893154174554,0.12004107412926497,115.0,43.0
2620,0.21371293435582792,0.12005813515057699,26.0,42.0
2621,0.17000543907402996,0.09185281530103924,112.0,120.0
2622,0.15539072267267676,0.11945757106545248,154.0,45.0
2623,0.17868607459619407,0.12777035389805122,91.0,27.0
2624,0.16727459641794362,0.09544799615451631,117.0,106.0
2625,0.19029714410592408,0.11284982313712436,65.0,59.0
2626,0.20238402301356906,0.12851313113286675,44.0,26.0
2627,0.15726645343478707,0.09607134786330992,147.0,104.0
